"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 23 21:45:27 GMT 2025","Sun Feb 23 21:45:28 GMT 2025","500","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Sun Feb 23 21:45:33 GMT 2025","Sun Feb 23 21:45:36 GMT 2025","2199","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name (no POM)",""
"passed","Sun Feb 23 21:45:38 GMT 2025","Sun Feb 23 21:45:38 GMT 2025","540","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Feb 23 21:45:36 GMT 2025","Sun Feb 23 21:45:37 GMT 2025","1180","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Sun Feb 23 21:45:26 GMT 2025","Sun Feb 23 21:45:26 GMT 2025","279","Setup","server.setup.ts","Verify the server is responsive","","","Ensure the page ""/api/"" is responsive.","Ensure that the ""/api/"" page loads correctly by verifying ""/api/"" response and App name."
"passed","Sun Feb 23 21:46:06 GMT 2025","Sun Feb 23 21:46:09 GMT 2025","2438","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name (no POM)",""
"passed","Sun Feb 23 21:45:26 GMT 2025","Sun Feb 23 21:45:27 GMT 2025","469","Setup","server.setup.ts","Verify the server is responsive","","","Ensure the homepage loads correctly.","Ensure that the homepage loads correctly by verifying URL and ""/api/users/"" response."
"failed","Sun Feb 23 21:46:03 GMT 2025","Sun Feb 23 21:46:05 GMT 2025","2275","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name POM",""
"passed","Sun Feb 23 21:45:31 GMT 2025","Sun Feb 23 21:45:33 GMT 2025","2357","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name POM",""
"passed","Sun Feb 23 21:45:28 GMT 2025","Sun Feb 23 21:45:28 GMT 2025","424","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
